"Time","Frequency 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)","Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)","Voltage 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)","Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)"
2023-09-10 00:00:00,50.6,50.6,204,219
2023-09-10 00:02:00,50.5,50.5,203,218
2023-09-10 00:04:00,50.6,50.6,204,219
2023-09-10 00:06:00,50.7,50.6,205,220
2023-09-10 00:08:00,50.7,50.8,204,220
2023-09-10 00:10:00,51.1,51.0,205,221
2023-09-10 00:12:00,50.7,50.6,204,221
2023-09-10 00:14:00,50.6,50.6,205,221
2023-09-10 00:16:00,50.6,50.6,204,220
2023-09-10 00:18:00,50.7,50.7,204,220
2023-09-10 00:20:00,49.0,49.0,205,219
2023-09-10 00:22:00,50.3,50.5,207,221
2023-09-10 00:24:00,50.4,50.3,206,220
2023-09-10 00:26:00,50.5,50.5,206,221
2023-09-10 00:28:00,50.1,50.1,207,220
2023-09-10 00:30:00,50.3,50.3,205,220
2023-09-10 00:32:00,50.3,50.3,204,220
2023-09-10 00:34:00,50.5,50.5,206,221
2023-09-10 00:36:00,50.5,50.5,207,222
2023-09-10 00:38:00,50.4,50.4,208,222
2023-09-10 00:40:00,50.4,50.4,206,221
2023-09-10 00:42:00,50.4,50.4,206,221
2023-09-10 00:44:00,50.2,50.3,208,222
2023-09-10 00:46:00,50.4,50.4,208,223
2023-09-10 00:48:00,50.4,50.4,207,221
2023-09-10 00:50:00,50.3,50.3,207,222
2023-09-10 00:52:00,50.3,50.3,209,223
2023-09-10 00:54:00,50.3,50.2,207,222
2023-09-10 00:56:00,50.4,50.4,207,223
2023-09-10 00:58:00,50.6,50.6,207,223
2023-09-10 01:00:00,50.4,50.4,208,223
2023-09-10 01:02:00,50.6,50.6,208,225
2023-09-10 01:04:00,50.4,50.4,207,225
2023-09-10 01:06:00,50.1,50.1,207,224
2023-09-10 01:08:00,50.3,50.3,209,225
2023-09-10 01:10:00,50.3,50.3,207,225
2023-09-10 01:12:00,50.5,50.5,207,225
2023-09-10 01:14:00,50.6,50.6,209,226
2023-09-10 01:16:00,50.6,50.6,209,226
2023-09-10 01:18:00,50.4,50.4,208,226
2023-09-10 01:20:00,50.1,50.1,208,223
2023-09-10 01:22:00,50.4,50.4,208,224
2023-09-10 01:24:00,50.3,50.3,207,223
2023-09-10 01:26:00,50.4,50.4,209,223
2023-09-10 01:28:00,50.5,50.6,208,223
2023-09-10 01:30:00,50.4,50.4,209,223
2023-09-10 01:32:00,50.5,50.5,209,223
2023-09-10 01:34:00,50.5,50.5,207,223
2023-09-10 01:36:00,50.2,50.3,206,222
2023-09-10 01:38:00,50.1,50.0,208,222
2023-09-10 01:40:00,50.4,50.4,207,223
2023-09-10 01:42:00,50.4,50.5,206,212
2023-09-10 01:44:00,50.5,50.4,207,211
