"Time","Frequency 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)","Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)","Voltage 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)","Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)"
2024-10-01 00:00:00,49.9,49.9,204,228
2024-10-01 00:02:00,50.3,50.2,208,228
2024-10-01 00:04:00,50.4,50.3,208,224
2024-10-01 00:06:00,49.2,49.1,207,224
2024-10-01 00:08:00,49.5,49.5,207,225
2024-10-01 00:10:00,49.5,49.5,208,226
2024-10-01 00:12:00,49.5,49.5,208,226
2024-10-01 00:14:00,49.3,49.3,208,226
2024-10-01 00:16:00,49.1,49.1,207,226
2024-10-01 00:18:00,49.5,49.5,208,226
2024-10-01 00:20:00,49.6,49.6,209,226
2024-10-01 00:22:00,49.5,49.5,208,226
2024-10-01 00:24:00,49.4,49.3,208,225
2024-10-01 00:26:00,49.3,49.2,207,225
2024-10-01 00:28:00,49.7,49.8,209,227
2024-10-01 00:30:00,49.5,49.4,208,226
2024-10-01 00:32:00,49.4,49.4,208,226
2024-10-01 00:34:00,49.6,49.6,208,226
2024-10-01 00:36:00,49.2,49.2,208,224
2024-10-01 00:38:00,49.9,49.9,209,228
2024-10-01 00:40:00,49.9,49.9,209,228
2024-10-01 00:42:00,49.8,49.8,209,228
2024-10-01 00:44:00,49.5,49.5,209,228
2024-10-01 00:46:00,49.7,49.7,209,228
2024-10-01 00:48:00,50.0,50.0,209,227
2024-10-01 00:50:00,49.8,49.7,209,228
2024-10-01 00:52:00,50.0,49.9,207,227
2024-10-01 00:54:00,49.6,49.6,210,228
2024-10-01 00:56:00,49.8,49.8,211,230
2024-10-01 00:58:00,49.8,49.9,210,229
2024-10-01 01:00:00,49.9,49.9,211,229
2024-10-01 01:02:00,49.7,49.7,211,229
2024-10-01 01:04:00,49.6,49.6,210,229
2024-10-01 01:06:00,49.9,49.8,211,229
2024-10-01 01:08:00,49.9,49.9,210,230
2024-10-01 01:10:00,49.7,49.7,211,229
2024-10-01 01:12:00,49.6,49.6,211,229
2024-10-01 01:14:00,49.1,49.2,209,228
2024-10-01 01:16:00,49.8,49.8,211,228
2024-10-01 01:18:00,49.7,49.7,209,230
2024-10-01 01:20:00,49.4,49.4,209,228
2024-10-01 01:22:00,49.5,49.5,210,230
2024-10-01 01:24:00,49.6,49.6,210,229
2024-10-01 01:26:00,49.3,49.3,209,229
2024-10-01 01:28:00,49.8,49.8,210,231
2024-10-01 01:30:00,49.3,49.3,209,230
2024-10-01 01:32:00,49.6,49.5,209,231
2024-10-01 01:34:00,49.4,49.4,208,230
2024-10-01 01:36:00,49.8,49.8,207,231
2024-10-01 01:38:00,49.8,49.8,211,231
2024-10-01 01:40:00,49.5,49.4,209,229
2024-10-01 01:42:00,49.2,49.2,209,229
2024-10-01 01:44:00,49.6,49.6,211,229
2024-10-01 01:46:00,49.6,49.7,211,229
2024-10-01 01:48:00,49.6,49.6,211,231
2024-10-01 01:50:00,49.8,49.8,210,230
2024-10-01 01:52:00,49.8,49.8,210,231
2024-10-01 01:54:00,49.6,49.5,209,230
2024-10-01 01:56:00,49.9,49.8,211,230
2024-10-01 01:58:00,49.9,49.8,211,231
2024-10-01 02:00:00,49.8,49.7,211,228
2024-10-01 02:02:00,49.7,49.7,211,229
2024-10-01 02:04:00,49.7,49.7,210,230
2024-10-01 02:06:00,49.7,49.7,210,230
2024-10-01 02:08:00,49.8,49.7,211,231
2024-10-01 02:10:00,49.9,49.9,211,231
2024-10-01 02:12:00,49.6,49.6,211,229
2024-10-01 02:14:00,49.6,49.7,211,230
2024-10-01 02:16:00,49.8,49.8,211,228
2024-10-01 02:18:00,49.9,49.9,212,232
2024-10-01 02:20:00,49.8,49.8,211,232
2024-10-01 02:22:00,49.7,49.7,211,233
2024-10-01 02:24:00,49.5,49.5,209,231
2024-10-01 02:26:00,49.8,49.8,209,232
2024-10-01 02:28:00,49.7,49.7,211,231
2024-10-01 02:30:00,49.7,49.7,212,231
2024-10-01 02:32:00,49.4,49.4,211,230
2024-10-01 02:34:00,49.8,49.8,211,231
2024-10-01 02:36:00,49.4,49.5,210,228
2024-10-01 02:38:00,49.8,49.8,211,230
2024-10-01 02:40:00,49.3,49.3,210,231
2024-10-01 02:42:00,49.8,49.7,211,233
2024-10-01 02:44:00,49.8,49.8,211,233
2024-10-01 02:46:00,49.5,49.6,210,230
2024-10-01 02:48:00,49.5,49.5,211,231
2024-10-01 02:50:00,49.3,49.3,210,230
2024-10-01 02:52:00,49.3,49.3,210,231
2024-10-01 02:54:00,49.7,49.7,211,230
2024-10-01 02:56:00,49.6,49.5,210,231
2024-10-01 02:58:00,49.4,49.5,210,231
2024-10-01 03:00:00,49.3,49.3,210,229
2024-10-01 03:02:00,49.7,49.6,210,231
2024-10-01 03:04:00,49.9,49.8,210,231
2024-10-01 03:06:00,49.8,49.9,211,232
2024-10-01 03:08:00,49.6,49.6,211,231
2024-10-01 03:10:00,49.5,49.4,209,231
2024-10-01 03:12:00,49.8,49.8,210,232
2024-10-01 03:14:00,49.8,49.7,210,232
2024-10-01 03:16:00,49.9,49.9,211,233
2024-10-01 03:18:00,49.6,49.6,211,233
2024-10-01 03:20:00,49.9,49.9,211,233
2024-10-01 03:22:00,50.0,50.0,211,233
2024-10-01 03:24:00,49.8,49.9,211,233
2024-10-01 03:26:00,49.8,49.8,211,232
2024-10-01 03:28:00,49.6,49.6,209,232
2024-10-01 03:30:00,49.7,49.7,212,231
2024-10-01 03:32:00,50.1,50.1,213,229
2024-10-01 03:34:00,49.8,49.9,211,231
