"Time","Frequency 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)","Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)","Voltage 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)","Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)"
2024-08-19 00:00:00,50.0,50.0,209,224
2024-08-19 00:02:00,50.2,50.3,209,226
2024-08-19 00:04:00,50.0,49.9,208,226
2024-08-19 00:06:00,50.2,50.2,207,223
2024-08-19 00:08:00,50.0,50.0,209,224
2024-08-19 00:10:00,50.0,50.0,209,225
2024-08-19 00:12:00,50.3,50.3,210,226
2024-08-19 00:14:00,50.1,50.1,209,225
2024-08-19 00:16:00,50.0,50.0,209,225
2024-08-19 00:18:00,50.0,50.0,208,224
2024-08-19 00:20:00,50.3,50.3,209,225
2024-08-19 00:22:00,50.0,50.0,209,226
2024-08-19 00:24:00,50.0,50.0,209,226
2024-08-19 00:26:00,50.1,50.1,210,228
2024-08-19 00:28:00,50.3,50.2,210,228
2024-08-19 00:30:00,50.1,50.1,209,228
2024-08-19 00:32:00,49.9,49.9,207,225
2024-08-19 00:34:00,49.7,49.8,209,226
2024-08-19 00:36:00,49.4,49.4,209,227
2024-08-19 00:38:00,49.9,49.9,210,228
2024-08-19 00:40:00,49.7,49.7,210,228
2024-08-19 00:42:00,49.8,49.7,211,228
2024-08-19 00:44:00,49.5,49.5,211,228
2024-08-19 00:46:00,49.6,49.7,209,225
2024-08-19 00:48:00,49.7,49.7,209,226
2024-08-19 00:50:00,49.6,49.5,209,226
2024-08-19 00:52:00,49.9,49.8,211,226
2024-08-19 00:54:00,49.8,49.8,212,228
2024-08-19 00:56:00,49.9,49.9,213,229
2024-08-19 00:58:00,49.7,49.7,210,227
2024-08-19 01:00:00,49.8,49.7,210,226
2024-08-19 01:02:00,49.6,49.6,209,226
2024-08-19 01:04:00,49.9,49.9,211,228
2024-08-19 01:06:00,49.7,49.7,212,229
2024-08-19 01:08:00,49.7,49.7,211,228
2024-08-19 01:10:00,49.7,49.7,212,229
2024-08-19 01:12:00,49.8,49.8,212,229
2024-08-19 01:14:00,49.9,49.9,210,226
