Time,Frequency 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire),Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique),Voltage 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire),Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique),Generator_ON
2/15/23 0:00,50.8,50.8,221,223,FALSE
2/15/23 0:02,50.8,50.8,221,225,FALSE
2/15/23 0:04,50.9,50.8,222,225,FALSE
2/15/23 0:06,50.8,50.8,222,224,FALSE
2/15/23 0:08,50.8,50.9,221,224,FALSE
2/15/23 0:10,50.7,50.7,221,224,FALSE
2/15/23 0:12,50.9,50.9,222,225,FALSE
2/15/23 0:14,51,50.9,221,225,FALSE
2/15/23 0:16,50.9,50.9,223,226,FALSE
2/15/23 0:18,50.8,50.8,223,226,FALSE
2/15/23 0:20,50.9,50.8,221,224,FALSE
2/15/23 0:22,50.9,50.9,223,226,FALSE
2/15/23 0:24,50.7,50.7,224,227,FALSE
2/15/23 0:26,50.9,50.8,224,227,FALSE
2/15/23 0:28,50.8,50.8,224,228,FALSE
2/15/23 0:30,50.9,50.8,224,228,FALSE
2/15/23 0:32,50.8,50.8,223,226,FALSE
2/15/23 0:34,50.9,50.9,221,224,FALSE
2/15/23 0:36,50.9,50.9,221,224,FALSE
2/15/23 0:38,50.3,50.3,219,224,FALSE
2/15/23 0:40,50.3,50.3,223,228,FALSE
2/15/23 0:42,50.3,50.4,223,226,FALSE
2/15/23 0:44,50.3,50.3,221,225,FALSE
2/15/23 0:46,50.3,50.2,223,226,FALSE
2/15/23 0:48,50.3,50.3,223,226,FALSE
2/15/23 0:50,50.4,50.4,221,226,FALSE
2/15/23 0:52,50.4,50.4,223,226,FALSE
2/15/23 0:54,50.3,50.3,223,226,FALSE
2/15/23 0:56,50.4,50.3,221,224,FALSE
2/15/23 0:58,50.3,50.2,221,225,FALSE
2/15/23 1:00,50.5,50.5,223,226,FALSE
2/15/23 1:02,50.2,50.3,220,223,FALSE
2/15/23 1:04,50.3,50.3,220,224,FALSE
2/15/23 1:06,50.3,50.2,221,225,FALSE
2/15/23 1:08,50.4,50.4,221,225,FALSE
2/15/23 1:10,50.2,50.2,221,225,FALSE
2/15/23 1:12,50.3,50.4,223,226,FALSE
2/15/23 1:14,50.2,50.2,221,224,FALSE
2/15/23 1:16,50.3,50.3,222,226,FALSE
2/15/23 1:18,50.4,50.4,223,226,FALSE
2/15/23 1:20,50.3,50.4,222,225,FALSE
2/15/23 1:22,50.4,50.4,222,226,FALSE
2/15/23 1:24,50.2,50.3,223,226,FALSE
2/15/23 1:26,50.3,50.3,222,226,FALSE
2/15/23 1:28,50.6,50.6,223,226,FALSE
2/15/23 1:30,50.2,50.1,224,226,FALSE
2/15/23 1:32,50.4,50.4,223,227,FALSE
2/15/23 1:34,50.4,50.4,223,226,FALSE
2/15/23 1:36,50.2,50.3,221,224,FALSE
2/15/23 1:38,50.5,50.5,220,224,FALSE
2/15/23 1:40,50.3,50.3,224,228,FALSE
2/15/23 1:42,50.3,50.3,226,228,FALSE
2/15/23 1:44,50.3,50.3,223,227,FALSE
2/15/23 1:46,50.4,50.4,225,228,FALSE
2/15/23 1:48,50.5,50.5,226,229,FALSE
2/15/23 1:50,50.4,50.4,225,228,FALSE
2/15/23 1:52,50.3,50.3,224,228,FALSE
2/15/23 1:54,50.4,50.4,226,229,FALSE
2/15/23 1:56,50.2,50.2,224,228,FALSE
2/15/23 1:58,50.4,50.4,226,230,FALSE
2/15/23 2:00,50.4,50.4,227,231,FALSE
2/15/23 2:02,50.4,50.4,224,228,FALSE
2/15/23 2:04,50.3,50.3,224,228,FALSE
2/15/23 2:06,50.4,50.4,226,228,FALSE
2/15/23 2:08,50.4,50.5,225,228,FALSE
2/15/23 2:10,50.3,50.3,224,228,FALSE
2/15/23 2:12,50.5,50.5,226,228,FALSE
2/15/23 2:14,50.3,50.3,223,226,FALSE
2/15/23 2:16,50.3,50.4,219,223,FALSE
2/15/23 2:18,50.4,50.4,221,223,FALSE
2/15/23 2:20,50.3,50.4,222,226,FALSE
2/15/23 2:22,50.3,50.4,221,225,FALSE
2/15/23 2:24,50.3,50.3,223,226,FALSE
2/15/23 2:26,50.5,50.4,223,226,FALSE
2/15/23 2:28,50.4,50.3,223,226,FALSE
2/15/23 2:30,50.4,50.5,226,228,FALSE
2/15/23 2:32,50.4,50.5,226,229,FALSE
2/15/23 2:34,50.5,50.5,225,228,FALSE
2/15/23 2:36,50.5,50.5,226,229,FALSE
2/15/23 2:38,50.4,50.3,226,228,FALSE
2/15/23 2:40,50.5,50.5,221,224,FALSE
2/15/23 2:42,50.4,50.3,223,226,FALSE
2/15/23 2:44,50.4,50.4,226,229,FALSE
2/15/23 2:46,50.4,50.4,224,228,FALSE
2/15/23 2:48,50.4,50.4,226,228,FALSE
2/15/23 2:50,50.4,50.4,227,229,FALSE
2/15/23 2:52,50.2,50.3,223,226,FALSE
2/15/23 2:54,50.3,50.3,226,228,FALSE
2/15/23 2:56,50.4,50.4,226,229,FALSE
2/15/23 2:58,50.4,50.4,225,228,FALSE
2/15/23 3:00,50.2,50.3,225,228,FALSE
2/15/23 3:02,50.3,50.3,226,229,FALSE
2/15/23 3:04,50.4,50.4,225,228,FALSE
2/15/23 3:06,50.4,50.4,227,229,FALSE
2/15/23 3:08,50.3,50.3,226,228,FALSE
2/15/23 3:10,50.4,50.4,225,228,FALSE
2/15/23 3:12,50.3,50.3,226,228,FALSE
2/15/23 3:14,50.4,50.3,226,228,FALSE
2/15/23 3:16,50.4,50.4,223,227,FALSE
