"Time","Frequency 25F7F910 (Hgr Beni - Gen area)","Frequency D10C8B91 (Hgr Beni - Lab)","Voltage 25F7F910 (Hgr Beni - Gen area)","Voltage D10C8B91 (Hgr Beni - Lab)"
2023-01-22 00:00:00,2463,50.9,0.707,244
2023-01-22 00:02:00,1092,50.9,0.707,244
2023-01-22 00:04:00,2618,50.8,0.707,244
2023-01-22 00:06:00,1515,50.9,0.707,244
2023-01-22 00:08:00,3906,50.9,0.707,244
2023-01-22 00:10:00,3030,50.8,0.707,244
2023-01-22 00:12:00,1965,50.9,0.707,244
2023-01-22 00:14:00,4367,50.9,0.707,244
2023-01-22 00:16:00,1637,51.0,0.707,244
2023-01-22 00:18:00,4926,50.9,0.707,244
2023-01-22 00:20:00,3268,50.9,0.707,244
2023-01-22 00:22:00,2625,50.8,0.707,244
2023-01-22 00:24:00,2304,50.9,0.707,244
2023-01-22 00:26:00,1792,50.9,0.707,245
2023-01-22 00:28:00,1629,50.9,0.707,244
2023-01-22 00:30:00,4329,50.9,0.707,244
2023-01-22 00:32:00,2618,50.9,0.707,244
2023-01-22 00:34:00,562,50.9,0.707,245
2023-01-22 00:36:00,2625,50.8,0.707,245
2023-01-22 00:38:00,1408,50.9,0.707,244
2023-01-22 00:40:00,1873,50.9,0.707,245
2023-01-22 00:42:00,463,50.8,0.707,245
2023-01-22 00:44:00,1397,50.9,0.707,245
2023-01-22 00:46:00,3268,50.9,0.707,245
2023-01-22 00:48:00,772,50.9,0.707,244
2023-01-22 00:50:00,916,51.0,0.707,245
2023-01-22 00:52:00,4348,50.9,0.707,245
2023-01-22 00:54:00,7874,50.9,0.707,245
2023-01-22 00:56:00,678,50.9,0.707,245
2023-01-22 00:58:00,9709,50.9,0.707,245
2023-01-22 01:00:00,2817,50.9,0.707,245
2023-01-22 01:02:00,3906,50.9,0.707,245
2023-01-22 01:04:00,2075,50.9,0.707,245
2023-01-22 01:06:00,3937,50.9,0.707,245
2023-01-22 01:08:00,4926,50.9,0.707,245
2023-01-22 01:10:00,2320,50.9,0.707,245
2023-01-22 01:12:00,2309,50.9,0.707,245
2023-01-22 01:14:00,9804,51.0,0.707,245
2023-01-22 01:16:00,436,50.9,0.707,245
2023-01-22 01:18:00,3937,50.9,0.707,245
2023-01-22 01:20:00,2801,50.9,0.707,245
2023-01-22 01:22:00,2793,50.9,0.707,245
2023-01-22 01:24:00,1639,50.9,0.707,245
2023-01-22 01:26:00,1404,50.9,0.707,245
2023-01-22 01:28:00,874,50.9,0.707,245
2023-01-22 01:30:00,1876,50.8,0.707,245
2023-01-22 01:32:00,2801,50.9,0.707,245
2023-01-22 01:34:00,3030,50.8,0.707,245
2023-01-22 01:36:00,5587,50.9,0.707,245
2023-01-22 01:38:00,1961,50.9,0.707,245
2023-01-22 01:40:00,917,50.9,0.707,245
2023-01-22 01:42:00,4367,51.1,0.707,245
2023-01-22 01:44:00,7874,51.1,0.707,245
2023-01-22 01:46:00,7874,51.1,0.707,245
2023-01-22 01:48:00,3584,51.1,0.707,245
2023-01-22 01:50:00,1513,51.1,0.707,245
2023-01-22 01:52:00,1348,51.1,0.707,245
2023-01-22 01:54:00,5587,51.1,0.707,245
2023-01-22 01:56:00,2625,51.1,0.707,245
2023-01-22 01:58:00,4926,51.1,0.707,245
2023-01-22 02:00:00,5618,51.2,0,245
