Time,Frequency 1C712FB8 (Hgr Katwa - Labo),Frequency AEBA416D (Hgr Katwa - Cabine),Voltage 1C712FB8 (Hgr Katwa - Labo),Voltage AEBA416D (Hgr Katwa - Cabine),Generator_ON
1/22/23 0:00,49.8,49.9,214,216,FALSE
1/22/23 0:02,49.7,49.7,214,216,FALSE
1/22/23 0:04,50.1,50.1,214,216,FALSE
1/22/23 0:06,50.2,50.1,214,217,FALSE
1/22/23 0:08,50.2,50.2,214,217,FALSE
1/22/23 0:10,49.7,49.8,214,216,FALSE
1/22/23 0:12,49.8,49.8,216,217,FALSE
1/22/23 0:14,50,50,216,217,FALSE
1/22/23 0:16,50.1,50,216,217,FALSE
1/22/23 0:18,49.8,49.8,216,217,FALSE
1/22/23 0:20,50,50,216,217,FALSE
1/22/23 0:22,49.9,49.9,216,217,FALSE
1/22/23 0:24,49.7,49.7,215,217,FALSE
1/22/23 0:26,50.3,50.2,216,217,FALSE
1/22/23 0:28,49.8,49.7,216,217,FALSE
1/22/23 0:30,50.2,50.3,217,217,FALSE
1/22/23 0:32,49.8,49.8,216,216,FALSE
1/22/23 0:34,49.8,49.8,216,216,FALSE
1/22/23 0:36,49.8,49.9,216,216,FALSE
1/22/23 0:38,49.9,50,214,216,FALSE
1/22/23 0:40,50,50,214,216,FALSE
1/22/23 0:42,50.3,50.3,214,216,FALSE
1/22/23 0:44,49.9,49.9,214,216,FALSE
1/22/23 0:46,49.8,49.8,214,216,FALSE
1/22/23 0:48,49.9,49.9,214,216,FALSE
1/22/23 0:50,49.7,49.8,216,216,FALSE
1/22/23 0:52,49.8,49.8,216,217,FALSE
1/22/23 0:54,49.9,49.9,216,218,FALSE
1/22/23 0:56,50,50.1,216,217,FALSE
1/22/23 0:58,49.8,49.8,216,217,FALSE
1/22/23 1:00,49.7,49.7,215,217,FALSE
1/22/23 1:02,50,50,216,217,FALSE
1/22/23 1:04,49.7,49.7,216,217,FALSE
1/22/23 1:06,50,50,216,218,FALSE
1/22/23 1:08,49.9,49.9,216,217,FALSE
1/22/23 1:10,49.9,50,216,218,FALSE
1/22/23 1:12,50.2,50.2,216,217,FALSE
1/22/23 1:14,50.1,50.1,216,216,FALSE
1/22/23 1:16,49.9,49.9,214,216,FALSE
1/22/23 1:18,50.2,50.2,214,216,FALSE
1/22/23 1:20,50.1,50.1,214,217,FALSE
1/22/23 1:22,50.1,50.1,214,216,FALSE
1/22/23 1:24,50,50,213,216,FALSE
1/22/23 1:26,50.1,50.1,213,217,FALSE
1/22/23 1:28,49.9,49.9,213,216,FALSE
1/22/23 1:30,50,50.1,216,217,FALSE
1/22/23 1:32,50.3,50.2,216,219,FALSE
1/22/23 1:34,49.9,49.8,215,218,FALSE
1/22/23 1:36,49.8,49.8,215,218,FALSE
1/22/23 1:38,49.9,49.9,215,218,FALSE
1/22/23 1:40,50,50,215,218,FALSE
1/22/23 1:42,50.1,50.2,215,218,FALSE
1/22/23 1:44,50,50,215,218,FALSE
1/22/23 1:46,49.9,49.9,215,218,FALSE
1/22/23 1:48,50.2,50.3,216,218,FALSE
1/22/23 1:50,50,50,216,218,FALSE
1/22/23 1:52,49.9,49.9,215,218,FALSE
1/22/23 1:54,49.8,49.8,216,218,FALSE
1/22/23 1:56,49.8,49.8,214,217,FALSE
1/22/23 1:58,50,50.1,214,217,FALSE
1/22/23 2:00,50,50,214,217,FALSE
1/22/23 2:02,50,50,214,217,FALSE
1/22/23 2:04,49.9,49.9,214,217,FALSE
1/22/23 2:06,49.7,49.7,214,216,FALSE
1/22/23 2:08,49.6,49.7,214,216,FALSE
1/22/23 2:10,49.9,49.9,216,217,FALSE
1/22/23 2:12,50,50,216,217,FALSE
1/22/23 2:14,49.8,49.8,216,217,FALSE
1/22/23 2:16,49.9,49.9,216,218,FALSE
1/22/23 2:18,49.8,49.8,216,217,FALSE
1/22/23 2:20,49.8,49.9,216,218,FALSE
1/22/23 2:22,49.8,49.8,216,218,FALSE
1/22/23 2:24,49.8,49.8,216,218,FALSE
1/22/23 2:26,49.9,49.9,216,218,FALSE
1/22/23 2:28,49.8,49.8,216,218,FALSE
1/22/23 2:30,49.7,49.7,214,219,FALSE
1/22/23 2:32,49.9,49.9,214,219,FALSE
1/22/23 2:34,49.9,49.9,215,219,FALSE
1/22/23 2:36,49.6,49.7,214,218,FALSE
1/22/23 2:38,49.9,49.8,215,217,FALSE
1/22/23 2:40,49.9,49.9,214,218,FALSE
1/22/23 2:42,49.8,49.9,214,218,FALSE
1/22/23 2:44,49.8,49.9,214,217,FALSE
1/22/23 2:46,49.9,50,215,217,FALSE
1/22/23 2:48,50,49.9,217,217,FALSE
1/22/23 2:50,50,50,217,218,FALSE
1/22/23 2:52,50,50,216,218,FALSE
1/22/23 2:54,49.8,49.9,217,217,FALSE
1/22/23 2:56,49.8,49.8,217,217,FALSE
1/22/23 2:58,49.8,49.9,216,219,FALSE
1/22/23 3:00,50,50,216,219,FALSE
1/22/23 3:02,49.8,49.9,216,218,FALSE
1/22/23 3:04,49.7,49.7,217,218,FALSE
1/22/23 3:06,49.8,49.8,217,218,FALSE
1/22/23 3:08,50,50,216,218,FALSE
1/22/23 3:10,49.9,49.9,216,219,FALSE
1/22/23 3:12,50.2,50.2,216,219,FALSE
1/22/23 3:14,49.7,49.7,216,218,FALSE
1/22/23 3:16,49.8,49.7,214,218,FALSE
1/22/23 3:18,49.8,49.8,212,219,FALSE
1/22/23 3:20,49.8,49.9,214,218,FALSE
1/22/23 3:22,50,50.1,214,218,FALSE
1/22/23 3:24,50.1,50.1,214,217,FALSE
1/22/23 3:26,50.1,50.1,214,218,FALSE
1/22/23 3:28,49.7,49.7,216,217,FALSE
1/22/23 3:30,49.7,49.8,216,217,FALSE
1/22/23 3:32,49.7,49.6,216,217,FALSE
1/22/23 3:34,49.9,49.9,216,217,FALSE
1/22/23 3:36,49.9,49.8,216,217,FALSE
1/22/23 3:38,49.8,49.8,216,217,FALSE
1/22/23 3:40,50.3,50.3,216,218,FALSE
1/22/23 3:42,50,50,216,219,FALSE
1/22/23 3:44,49.9,49.7,216,218,FALSE
1/22/23 3:46,50.3,50.3,216,219,FALSE
1/22/23 3:48,49.7,49.8,215,218,FALSE
1/22/23 3:50,50,50,216,219,FALSE
1/22/23 3:52,50,50,216,219,FALSE
1/22/23 3:54,50.1,50.1,214,218,FALSE
1/22/23 3:56,49.9,49.9,214,218,FALSE
1/22/23 3:58,49.8,49.7,214,218,FALSE
1/22/23 4:00,49.9,49.9,214,218,FALSE
1/22/23 4:02,49.7,49.8,214,218,FALSE
1/22/23 4:04,49.8,49.8,214,217,FALSE
1/22/23 4:06,49.8,49.8,216,217,FALSE
1/22/23 4:08,49.9,49.9,216,217,FALSE
1/22/23 4:10,50.2,50.1,216,217,FALSE
1/22/23 4:12,50,50,216,217,FALSE
1/22/23 4:14,50,49.9,216,217,FALSE
1/22/23 4:16,49.9,50,214,218,FALSE
1/22/23 4:18,50,50.1,214,218,FALSE
1/22/23 4:20,49.8,49.7,214,217,FALSE
1/22/23 4:22,49.9,49.9,216,217,FALSE
1/22/23 4:24,50,50,216,217,FALSE
1/22/23 4:26,50.2,50.2,214,219,FALSE
1/22/23 4:28,50,50.1,214,219,FALSE
1/22/23 4:30,49.8,49.7,215,218,FALSE
1/22/23 4:32,50,50,213,218,FALSE
1/22/23 4:34,49.8,49.9,214,212,FALSE
1/22/23 4:36,50.2,50.2,212,213,FALSE
1/22/23 4:38,49.8,49.8,213,212,FALSE
1/22/23 4:40,50.2,50.3,214,213,FALSE
1/22/23 4:42,49.9,49.9,214,212,FALSE
1/22/23 4:44,49.9,49.9,214,213,FALSE
1/22/23 4:46,49.5,49.6,214,211,FALSE
1/22/23 4:48,50.1,50.1,216,211,FALSE
1/22/23 4:50,50.2,50.2,216,211,FALSE
1/22/23 4:52,50.1,50.1,215,212,FALSE
1/22/23 4:54,49.5,49.5,214,211,FALSE
1/22/23 4:56,50.2,50.2,216,211,FALSE
1/22/23 4:58,50,50,216,211,FALSE
1/22/23 5:00,50.3,50.2,216,212,FALSE
1/22/23 5:02,49.8,49.9,214,211,FALSE
1/22/23 5:04,49.8,49.9,216,211,FALSE
1/22/23 5:06,50,50,216,211,FALSE
1/22/23 5:08,50,50.1,216,212,FALSE
1/22/23 5:10,49.7,49.6,211,211,FALSE
1/22/23 5:12,49.9,49.9,214,211,FALSE
1/22/23 5:14,50.1,50.1,214,211,FALSE
1/22/23 5:16,49.9,49.8,214,211,FALSE
1/22/23 5:18,50,50,211,213,FALSE
1/22/23 5:20,50.2,50.2,212,212,FALSE
1/22/23 5:22,50.1,50,215,212,FALSE
1/22/23 5:24,49.8,49.8,215,211,FALSE
1/22/23 5:26,49.8,49.8,214,212,FALSE
1/22/23 5:28,49.9,49.9,214,211,FALSE
1/22/23 5:30,49.9,50,216,211,FALSE
1/22/23 5:32,50,49.9,215,211,FALSE
1/22/23 5:34,50.2,50.2,214,211,FALSE
1/22/23 5:36,50,50,214,211,FALSE
1/22/23 5:38,49.9,49.9,216,211,FALSE
1/22/23 5:40,49.8,49.7,215,211,FALSE
1/22/23 5:42,49.8,49.8,215,211,FALSE
1/22/23 5:44,50,50,214,211,FALSE
1/22/23 5:46,50.4,50.3,216,211,FALSE
1/22/23 5:48,49.9,49.9,214,211,FALSE
1/22/23 5:50,50,49.9,213,211,FALSE
1/22/23 5:52,49.7,49.6,211,211,FALSE
1/22/23 5:54,49.8,49.8,213,211,FALSE
1/22/23 5:56,49.9,50,213,211,FALSE
1/22/23 5:58,49.9,49.9,213,212,FALSE
1/22/23 6:00,50,49.9,214,212,FALSE
1/22/23 6:02,49.9,50,216,211,FALSE
1/22/23 6:04,49.7,49.6,216,211,FALSE
1/22/23 6:06,50.1,50,216,211,FALSE
1/22/23 6:08,50,50.1,216,211,FALSE
1/22/23 6:10,50,50,216,211,FALSE
1/22/23 6:12,49.7,49.7,216,211,FALSE
1/22/23 6:14,50,50,217,215,FALSE
1/22/23 6:16,50.3,50.2,216,216,FALSE
1/22/23 6:18,50,50,216,216,FALSE
1/22/23 6:20,50.1,50,204,218,FALSE
1/22/23 6:22,50.3,50.3,204,219,FALSE
1/22/23 6:24,50.2,50.2,216,216,FALSE
1/22/23 6:26,50,50.1,214,216,FALSE
1/22/23 6:28,49.9,49.9,215,216,FALSE
1/22/23 6:30,50.1,50.1,214,217,FALSE
1/22/23 6:32,50.2,50.2,211,219,FALSE
1/22/23 6:34,49.9,49.9,209,220,FALSE
1/22/23 6:36,50,50.1,214,219,FALSE
1/22/23 6:38,50.2,50.2,218,221,FALSE
1/22/23 6:40,49.7,49.8,218,219,FALSE
1/22/23 6:42,50,49.9,216,220,FALSE
1/22/23 6:44,49.9,49.9,218,219,FALSE
1/22/23 6:46,50.1,50,220,223,FALSE
1/22/23 6:48,49.5,49.5,219,222,FALSE
1/22/23 6:50,49.9,49.9,221,223,FALSE
1/22/23 6:52,50,50.1,219,223,FALSE
1/22/23 6:54,50.1,50.1,220,222,FALSE
1/22/23 6:56,49.7,49.7,221,221,FALSE
1/22/23 6:58,50.1,50.2,218,221,FALSE
1/22/23 7:00,49.9,49.9,218,221,FALSE
1/22/23 7:02,50,50,219,220,FALSE
