Time,Frequency 6EF39700 (Hgr Kitatumba - Labo),Frequency D2B9CB2E (Hgr Kitatumba - Mdh office),Voltage 6EF39700 (Hgr Kitatumba - Labo),Voltage D2B9CB2E (Hgr Kitatumba - Mdh office),Generator_ON
1/1/23 0:00,50,50,211,214,FALSE
1/1/23 0:02,49.7,49.7,209,214,FALSE
1/1/23 0:04,50.2,50.1,209,214,FALSE
1/1/23 0:06,50.1,50.1,211,214,FALSE
1/1/23 0:08,49.7,49.7,209,214,FALSE
1/1/23 0:10,50,50,208,214,FALSE
1/1/23 0:12,50,50,209,213,FALSE
1/1/23 0:14,50.2,50.1,209,214,FALSE
1/1/23 0:16,49.9,49.9,209,214,FALSE
1/1/23 0:18,49.6,49.6,209,214,FALSE
1/1/23 0:20,49.8,49.9,210,214,FALSE
1/1/23 0:22,50,50,211,215,FALSE
1/1/23 0:24,50,50,211,214,FALSE
1/1/23 0:26,50.1,50.1,211,214,FALSE
1/1/23 0:28,49.9,49.9,210,215,FALSE
1/1/23 0:30,50.1,50,210,214,FALSE
1/1/23 0:32,49.9,49.9,211,215,FALSE
1/1/23 0:34,49.9,50,211,216,FALSE
1/1/23 0:36,49.9,49.9,212,216,FALSE
1/1/23 0:38,49.9,49.8,211,216,FALSE
1/1/23 0:40,50,50.1,212,216,FALSE
1/1/23 0:42,50,50,211,216,FALSE
1/1/23 0:44,50.1,50,211,216,FALSE
1/1/23 0:46,49.9,49.9,213,216,FALSE
1/1/23 0:48,49.8,49.8,211,216,FALSE
1/1/23 0:50,49.9,49.9,214,219,FALSE
1/1/23 0:52,50,50,215,219,FALSE
1/1/23 0:54,49.8,49.7,214,218,FALSE
1/1/23 0:56,50,50,214,219,FALSE
1/1/23 0:58,49.9,49.9,213,219,FALSE
1/1/23 1:00,49.8,49.8,214,218,FALSE
1/1/23 1:02,49.7,49.7,214,218,FALSE
1/1/23 1:04,49.9,49.9,214,218,FALSE
1/1/23 1:06,49.9,49.8,214,218,FALSE
1/1/23 1:08,50.1,50,214,218,FALSE
1/1/23 1:10,49.8,49.9,213,218,FALSE
1/1/23 1:12,50.1,50,214,219,FALSE
1/1/23 1:14,49.9,50,213,217,FALSE
1/1/23 1:16,50,50,216,219,FALSE
1/1/23 1:18,50,50,214,219,FALSE
1/1/23 1:20,50,50,215,219,FALSE
1/1/23 1:22,49.8,49.8,214,219,FALSE
1/1/23 1:24,49.7,49.7,216,221,FALSE
1/1/23 1:26,49.8,49.8,214,219,FALSE
1/1/23 1:28,50,50,214,219,FALSE
1/1/23 1:30,49.8,49.8,216,219,FALSE
1/1/23 1:32,49.9,50,217,221,FALSE
1/1/23 1:34,49.8,49.9,216,220,FALSE
1/1/23 1:36,50.1,50,216,221,FALSE
1/1/23 1:38,50,50,215,219,FALSE
1/1/23 1:40,50,50.1,214,219,FALSE
1/1/23 1:42,50,50,214,219,FALSE
1/1/23 1:44,49.7,49.8,215,219,FALSE
1/1/23 1:46,49.8,49.8,215,219,FALSE
1/1/23 1:48,49.9,49.9,216,220,FALSE
1/1/23 1:50,50,50,216,220,FALSE
1/1/23 1:52,49.8,49.8,216,220,FALSE
1/1/23 1:54,49.9,49.9,216,220,FALSE
1/1/23 1:56,50.3,50.3,216,221,FALSE
1/1/23 1:58,49.8,49.7,216,220,FALSE
1/1/23 2:00,49.8,49.8,214,219,FALSE
1/1/23 2:02,49.8,49.8,215,220,FALSE
1/1/23 2:04,49.9,49.8,216,221,FALSE
1/1/23 2:06,50.1,50.1,216,221,FALSE
1/1/23 2:08,49.7,49.7,215,220,FALSE
1/1/23 2:10,50.1,50.1,216,221,FALSE
1/1/23 2:12,50,49.9,216,222,FALSE
1/1/23 2:14,50.1,50.1,219,223,FALSE
1/1/23 2:16,50,50,219,223,FALSE
1/1/23 2:18,50,50,218,221,FALSE
1/1/23 2:20,50.1,50.1,219,223,FALSE
1/1/23 2:22,50,49.9,216,222,FALSE
1/1/23 2:24,49.9,49.9,217,222,FALSE
1/1/23 2:26,50,50,218,223,FALSE
1/1/23 2:28,50,50.1,219,223,FALSE
1/1/23 2:30,50.2,50.1,216,221,FALSE
1/1/23 2:32,49.9,49.8,217,222,FALSE
1/1/23 2:34,49.8,49.8,216,221,FALSE
1/1/23 2:36,49.8,49.9,218,222,FALSE
1/1/23 2:38,49.8,49.8,216,221,FALSE
1/1/23 2:40,49.8,49.8,216,220,FALSE
1/1/23 2:42,49.9,49.9,216,220,FALSE
1/1/23 2:44,49.9,49.8,216,221,FALSE
1/1/23 2:46,49.5,49.5,216,220,FALSE
1/1/23 2:48,50.1,50.1,215,220,FALSE
