Time,Frequency A27FD0AE (Ch Matanda - Control room),Frequency E62B2EA3 (Ch Matanda - Radiologie),Voltage A27FD0AE (Ch Matanda - Control room),Voltage E62B2EA3 (Ch Matanda - Radiologie),Generator_ON
1/1/23 0:00,50,50,224,224,FALSE
1/1/23 0:02,49.7,49.7,223,223,FALSE
1/1/23 0:04,50.1,50.1,224,224,FALSE
1/1/23 0:06,50.1,50.1,224,225,FALSE
1/1/23 0:08,49.7,49.7,223,223,FALSE
1/1/23 0:10,49.9,50,223,224,FALSE
1/1/23 0:12,49.9,49.9,223,224,FALSE
1/1/23 0:14,50.1,50.1,224,224,FALSE
1/1/23 0:16,49.9,49.9,226,226,FALSE
1/1/23 0:18,49.6,49.6,225,226,FALSE
1/1/23 0:20,49.8,49.9,225,225,FALSE
1/1/23 0:22,50,50,226,226,FALSE
1/1/23 0:24,50,50,226,226,FALSE
1/1/23 0:26,50.2,50.1,226,226,FALSE
1/1/23 0:28,49.8,49.8,226,226,FALSE
1/1/23 0:30,50.1,50.1,226,226,FALSE
1/1/23 0:32,49.9,49.9,226,226,FALSE
1/1/23 0:34,49.9,49.9,226,226,FALSE
1/1/23 0:36,49.9,49.9,226,226,FALSE
1/1/23 0:38,49.9,49.9,226,227,FALSE
1/1/23 0:40,50.1,50,227,228,FALSE
1/1/23 0:42,50,50,226,227,FALSE
1/1/23 0:44,50,50.1,227,227,FALSE
1/1/23 0:46,49.8,49.8,227,227,FALSE
1/1/23 0:48,49.9,49.8,226,226,FALSE
1/1/23 0:50,49.8,49.9,226,226,FALSE
1/1/23 0:52,50,50.1,227,227,FALSE
1/1/23 0:54,49.7,49.7,226,226,FALSE
1/1/23 0:56,49.9,50,226,227,FALSE
1/1/23 0:58,49.9,49.9,226,227,FALSE
1/1/23 1:00,49.8,49.8,226,226,FALSE
1/1/23 1:02,49.7,49.7,226,226,FALSE
1/1/23 1:04,49.9,49.9,226,227,FALSE
1/1/23 1:06,49.9,49.9,227,227,FALSE
1/1/23 1:08,50.1,50,225,225,FALSE
1/1/23 1:10,49.8,49.9,225,225,FALSE
1/1/23 1:12,50.1,50.1,226,226,FALSE
1/1/23 1:14,49.9,49.9,225,226,FALSE
1/1/23 1:16,50,50,226,226,FALSE
1/1/23 1:18,50.1,50.1,226,226,FALSE
1/1/23 1:20,50,50,225,226,FALSE
1/1/23 1:22,49.8,49.8,225,225,FALSE
1/1/23 1:24,49.7,49.7,225,225,FALSE
1/1/23 1:26,49.8,49.8,225,225,FALSE
1/1/23 1:28,50,50,226,226,FALSE
1/1/23 1:30,49.8,49.9,225,226,FALSE
1/1/23 1:32,50,50,225,226,FALSE
1/1/23 1:34,49.8,49.8,225,225,FALSE
1/1/23 1:36,50,50.1,226,226,FALSE
1/1/23 1:38,50,50,226,226,FALSE
1/1/23 1:40,50,50.1,226,226,FALSE
1/1/23 1:42,50,49.9,225,226,FALSE
1/1/23 1:44,49.7,49.8,226,227,FALSE
1/1/23 1:46,49.8,49.8,227,227,FALSE
1/1/23 1:48,50,49.9,227,228,FALSE
1/1/23 1:50,50,50,227,227,FALSE
1/1/23 1:52,49.8,49.8,227,227,FALSE
1/1/23 1:54,49.9,49.9,227,228,FALSE
1/1/23 1:56,50.3,50.3,228,228,FALSE
1/1/23 1:58,49.8,49.8,228,228,FALSE
1/1/23 2:00,49.9,49.9,227,227,FALSE
1/1/23 2:02,49.8,49.8,227,227,FALSE
1/1/23 2:04,49.9,49.9,227,227,FALSE
1/1/23 2:06,50,50,227,227,FALSE
1/1/23 2:08,49.7,49.6,227,227,FALSE
1/1/23 2:10,50.1,50.2,227,227,FALSE
1/1/23 2:12,50,50,226,227,FALSE
1/1/23 2:14,50.1,50.1,228,228,FALSE
1/1/23 2:16,50,50,227,228,FALSE
1/1/23 2:18,50.1,50.1,227,228,FALSE
1/1/23 2:20,50.1,50.1,228,228,FALSE
1/1/23 2:22,50,50,228,228,FALSE
1/1/23 2:24,49.9,49.9,228,228,FALSE
