"Time","Frequency A27FD0AE (Ch Matanda - Control room)","Frequency E62B2EA3 (Ch Matanda - Radiologie)","Voltage A27FD0AE (Ch Matanda - Control room)","Voltage E62B2EA3 (Ch Matanda - Radiologie)"
2023-01-08 00:00:00,49.8,49.9,228,228
2023-01-08 00:02:00,49.8,49.8,228,228
2023-01-08 00:04:00,49.8,49.8,228,228
2023-01-08 00:06:00,50.1,50.1,224,224
2023-01-08 00:08:00,50.0,50.0,228,228
2023-01-08 00:10:00,50.0,50.0,228,228
2023-01-08 00:12:00,50.0,50.0,228,228
2023-01-08 00:14:00,50.0,49.9,224,224
2023-01-08 00:16:00,49.9,49.9,228,228
2023-01-08 00:18:00,49.9,49.9,225,224
2023-01-08 00:20:00,50.0,50.0,228,228
2023-01-08 00:22:00,49.9,49.9,228,228
2023-01-08 00:24:00,50.0,50.0,228,228
2023-01-08 00:26:00,50.0,50.0,228,228
2023-01-08 00:28:00,50.1,50.2,228,228
2023-01-08 00:30:00,50.2,50.1,226,226
2023-01-08 00:32:00,50.0,50.0,228,228
2023-01-08 00:34:00,49.9,49.9,223,223
2023-01-08 00:36:00,50.0,50.0,226,227
2023-01-08 00:38:00,49.9,49.9,228,228
2023-01-08 00:40:00,49.9,49.9,228,228
2023-01-08 00:42:00,49.9,49.9,228,228
2023-01-08 00:44:00,50.0,50.0,229,229
2023-01-08 00:46:00,49.9,49.9,229,229
2023-01-08 00:48:00,50.0,50,229,229
2023-01-08 00:50:00,49.9,49.9,229,229
2023-01-08 00:52:00,50.0,50.0,228,229
2023-01-08 00:54:00,50.1,50.1,229,229
2023-01-08 00:56:00,49.9,49.9,229,229
2023-01-08 00:58:00,50.0,50.0,228,229
2023-01-08 01:00:00,49.9,50.0,231,231
2023-01-08 01:02:00,49.9,49.9,228,228
2023-01-08 01:04:00,50.0,49.9,228,228
2023-01-08 01:06:00,50.0,50.0,228,229
2023-01-08 01:08:00,50.0,50.0,228,229
2023-01-08 01:10:00,50.0,50.0,228,228
2023-01-08 01:12:00,49.9,49.9,228,228
2023-01-08 01:14:00,50.0,50.0,228,228
2023-01-08 01:16:00,50.0,50.0,228,228
2023-01-08 01:18:00,50.1,50.0,228,228
2023-01-08 01:20:00,49.9,49.9,228,228
2023-01-08 01:22:00,49.9,49.9,228,228
2023-01-08 01:24:00,49.9,49.9,228,228
2023-01-08 01:26:00,50.1,50.1,228,228
2023-01-08 01:28:00,50.0,50.0,228,228
2023-01-08 01:30:00,49.9,49.9,228,228
2023-01-08 01:32:00,49.9,49.9,228,228
2023-01-08 01:34:00,50.0,50.1,228,228
2023-01-08 01:36:00,50.0,50.0,228,228
2023-01-08 01:38:00,50.0,50.0,228,228
2023-01-08 01:40:00,50.0,50.0,228,228
2023-01-08 01:42:00,50.0,50.0,228,228
2023-01-08 01:44:00,50.3,50.3,228,228
2023-01-08 01:46:00,50.1,50.1,228,228
