"Time","Frequency 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)","Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)","Voltage 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)","Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)"
2023-12-10 00:00:00,51.5,51.4,236,235
2023-12-10 00:02:00,51.4,51.3,231,236
2023-12-10 00:04:00,51.4,51.4,231,236
2023-12-10 00:06:00,51.5,51.4,234,236
2023-12-10 00:08:00,51.5,51.5,233,236
2023-12-10 00:10:00,51.4,51.5,231,236
2023-12-10 00:12:00,51.4,51.5,233,236
2023-12-10 00:14:00,51.4,51.5,236,235
2023-12-10 00:16:00,51.5,51.5,233,236
2023-12-10 00:18:00,51.3,51.4,232,236
2023-12-10 00:20:00,51.4,51.4,234,236
2023-12-10 00:22:00,51.4,51.3,233,236
2023-12-10 00:24:00,51.4,51.4,233,236
2023-12-10 00:26:00,51.5,51.4,236,236
2023-12-10 00:28:00,51.4,51.3,235,236
2023-12-10 00:30:00,51.4,51.5,233,236
2023-12-10 00:32:00,51.5,51.4,235,236
2023-12-10 00:34:00,51.4,51.5,237,236
2023-12-10 00:36:00,51.5,51.4,233,236
2023-12-10 00:38:00,51.5,51.5,234,236
2023-12-10 00:40:00,51.5,51.5,235,235
2023-12-10 00:42:00,51.5,51.4,234,236
2023-12-10 00:44:00,51.5,51.4,234,236
2023-12-10 00:46:00,51.5,51.5,237,236
2023-12-10 00:48:00,51.4,51.4,235,236
2023-12-10 00:50:00,51.4,51.3,239,235
2023-12-10 00:52:00,51.4,51.3,241,236
2023-12-10 00:54:00,51.4,51.3,242,236
2023-12-10 00:56:00,51.3,51.3,238,235
2023-12-10 00:58:00,51.3,51.5,243,235
2023-12-10 01:00:00,51.5,51.4,243,235
2023-12-10 01:02:00,51.4,51.5,240,235
2023-12-10 01:04:00,51.4,51.4,239,234
2023-12-10 01:06:00,51.3,51.4,243,235
2023-12-10 01:08:00,51.4,51.2,238,235
2023-12-10 01:10:00,51.3,51.3,239,234
2023-12-10 01:12:00,51.3,51.3,241,235
2023-12-10 01:14:00,51.3,51.3,240,234
