"Time","Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)","Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)"
2024-07-15 00:00:00,49.8,218
2024-07-15 00:02:00,49.6,218
2024-07-15 00:04:00,50.0,218
2024-07-15 00:06:00,50.0,218
2024-07-15 00:08:00,50.0,219
2024-07-15 00:10:00,50.1,219
2024-07-15 00:12:00,50.2,219
2024-07-15 00:14:00,50.2,220
2024-07-15 00:16:00,50.2,221
2024-07-15 00:18:00,50.0,217
2024-07-15 00:20:00,49.9,218
2024-07-15 00:22:00,50.0,217
2024-07-15 00:24:00,49.8,218
2024-07-15 00:26:00,49.7,219
2024-07-15 00:28:00,50.3,220
2024-07-15 00:30:00,50.3,220
2024-07-15 00:32:00,50.0,219
2024-07-15 00:34:00,49.7,219
2024-07-15 00:36:00,50.1,221
2024-07-15 00:38:00,49.6,218
2024-07-15 00:40:00,50.0,221
2024-07-15 00:42:00,49.8,221
2024-07-15 00:44:00,50.2,222
2024-07-15 00:46:00,50.2,223
2024-07-15 00:48:00,50.2,222
2024-07-15 00:50:00,50.1,222
2024-07-15 00:52:00,50.0,222
2024-07-15 00:54:00,50.4,222
2024-07-15 00:56:00,50.3,224
2024-07-15 00:58:00,50.0,223
2024-07-15 01:00:00,50.0,221
2024-07-15 01:02:00,50.0,222
2024-07-15 01:04:00,49.9,222
2024-07-15 01:06:00,49.9,223
2024-07-15 01:08:00,50.0,221
2024-07-15 01:10:00,50.0,222
2024-07-15 01:12:00,50.2,223
2024-07-15 01:14:00,50.0,223
2024-07-15 01:16:00,50.2,222
2024-07-15 01:18:00,50.4,223
2024-07-15 01:20:00,50.3,224
2024-07-15 01:22:00,50.0,223
2024-07-15 01:24:00,50.3,224
2024-07-15 01:26:00,50.1,224
2024-07-15 01:28:00,50.0,223
2024-07-15 01:30:00,50.2,223
2024-07-15 01:32:00,50.0,223
2024-07-15 01:34:00,50.2,224
2024-07-15 01:36:00,50.1,223
2024-07-15 01:38:00,50.0,223
2024-07-15 01:40:00,50.2,223
2024-07-15 01:42:00,50.3,224
2024-07-15 01:44:00,50.1,223
2024-07-15 01:46:00,50.1,223
2024-07-15 01:48:00,50.1,225
2024-07-15 01:50:00,50.2,222
2024-07-15 01:52:00,50.4,223
2024-07-15 01:54:00,50.1,223
2024-07-15 01:56:00,50.0,223
2024-07-15 01:58:00,50.2,225
2024-07-15 02:00:00,49.9,225
2024-07-15 02:02:00,50.2,224
2024-07-15 02:04:00,50.3,224
2024-07-15 02:06:00,50.1,223
2024-07-15 02:08:00,50.3,225
2024-07-15 02:10:00,50.2,224
2024-07-15 02:12:00,50.2,224
2024-07-15 02:14:00,50.2,225
2024-07-15 02:16:00,50.4,226
2024-07-15 02:18:00,50.3,223
2024-07-15 02:20:00,50.2,223
2024-07-15 02:22:00,50.0,223
2024-07-15 02:24:00,50.2,224
2024-07-15 02:26:00,50.1,225
2024-07-15 02:28:00,49.8,223
2024-07-15 02:30:00,50.1,223
2024-07-15 02:32:00,50.0,223
2024-07-15 02:34:00,50.2,224
2024-07-15 02:36:00,50.0,221
2024-07-15 02:38:00,50.5,223
2024-07-15 02:40:00,50.1,224
2024-07-15 02:42:00,50.2,224
2024-07-15 02:44:00,50.1,224
2024-07-15 02:46:00,50.2,225
2024-07-15 02:48:00,50.1,222
2024-07-15 02:50:00,50.2,223
2024-07-15 02:52:00,50.2,224
2024-07-15 02:54:00,50.3,225
2024-07-15 02:56:00,50.5,223
2024-07-15 02:58:00,50.3,225
2024-07-15 03:00:00,50.0,224
2024-07-15 03:02:00,50.2,224
2024-07-15 03:04:00,50.0,225
2024-07-15 03:06:00,50.3,226
2024-07-15 03:08:00,50.2,224
2024-07-15 03:10:00,50.6,223
2024-07-15 03:12:00,50.3,225
2024-07-15 03:14:00,50.2,224
2024-07-15 03:16:00,50.0,222
2024-07-15 03:18:00,50.2,223
2024-07-15 03:20:00,50.3,226
2024-07-15 03:22:00,50.4,224
2024-07-15 03:24:00,50.3,224
2024-07-15 03:26:00,50.4,225
2024-07-15 03:28:00,50.1,224
2024-07-15 03:30:00,50.1,225
2024-07-15 03:32:00,50.0,222
2024-07-15 03:34:00,49.8,221
2024-07-15 03:36:00,50.1,221
2024-07-15 03:38:00,50.3,224
2024-07-15 03:40:00,50.3,221
2024-07-15 03:42:00,50.5,227
2024-07-15 03:44:00,50.3,221
2024-07-15 03:46:00,50.2,221
2024-07-15 03:48:00,50.1,221
2024-07-15 03:50:00,50.0,219
2024-07-15 03:52:00,50.1,220
2024-07-15 03:54:00,50.2,222
2024-07-15 03:56:00,50.5,222
2024-07-15 03:58:00,50.4,223
2024-07-15 04:00:00,50.2,224
2024-07-15 04:02:00,50.2,223
2024-07-15 04:04:00,50.3,223
2024-07-15 04:06:00,50.1,223
2024-07-15 04:08:00,50.2,221
2024-07-15 04:10:00,50.2,221
2024-07-15 04:12:00,50.4,221
2024-07-15 04:14:00,50.3,221
2024-07-15 04:16:00,50.0,221
2024-07-15 04:18:00,50.1,221
2024-07-15 04:20:00,50.1,222
2024-07-15 04:22:00,50.3,222
2024-07-15 04:24:00,50.0,222
2024-07-15 04:26:00,50.1,223
2024-07-15 04:28:00,50.3,221
2024-07-15 04:30:00,50.2,223
2024-07-15 04:32:00,50.2,223
2024-07-15 04:34:00,50.0,222
2024-07-15 04:36:00,50.4,223
2024-07-15 04:38:00,50.2,223
2024-07-15 04:40:00,50.1,223
2024-07-15 04:42:00,50.0,223
2024-07-15 04:44:00,50.0,222
2024-07-15 04:46:00,50.1,223
2024-07-15 04:48:00,50.0,223
2024-07-15 04:50:00,50.3,224
2024-07-15 04:52:00,50.3,223
2024-07-15 04:54:00,50.4,223
2024-07-15 04:56:00,50.0,223
2024-07-15 04:58:00,50.0,223
2024-07-15 05:00:00,50.0,221
2024-07-15 05:02:00,49.9,221
2024-07-15 05:04:00,50.0,222
2024-07-15 05:06:00,50.1,223
2024-07-15 05:08:00,50.2,221
2024-07-15 05:10:00,50.4,223
2024-07-15 05:12:00,50.2,223
2024-07-15 05:14:00,50.2,222
2024-07-15 05:16:00,50.2,223
2024-07-15 05:18:00,50.0,222
2024-07-15 05:20:00,50.4,223
2024-07-15 05:22:00,50.1,221
2024-07-15 05:24:00,50.2,223
2024-07-15 05:26:00,50.0,221
2024-07-15 05:28:00,50.2,221
2024-07-15 05:30:00,50.0,223
2024-07-15 05:32:00,50.4,223
2024-07-15 05:34:00,50.0,219
2024-07-15 05:36:00,50.1,223
2024-07-15 05:38:00,50.0,219
2024-07-15 05:40:00,50.1,218
2024-07-15 05:42:00,50.1,219
2024-07-15 05:44:00,50.0,222
2024-07-15 05:46:00,50.0,220
2024-07-15 05:48:00,50.0,220
2024-07-15 05:50:00,50.1,218
2024-07-15 05:52:00,50.0,219
2024-07-15 05:54:00,49.9,217
2024-07-15 05:56:00,50.0,219
2024-07-15 05:58:00,49.9,218
2024-07-15 06:00:00,50.3,217
2024-07-15 06:02:00,49.7,218
2024-07-15 06:04:00,50.0,217
2024-07-15 06:06:00,50.0,220
2024-07-15 06:08:00,49.9,221
2024-07-15 06:10:00,50.0,227
2024-07-15 06:12:00,50.0,225
2024-07-15 06:14:00,49.9,222
2024-07-15 06:16:00,50.0,225
2024-07-15 06:18:00,50.0,224
2024-07-15 06:20:00,50.1,222
2024-07-15 06:22:00,49.9,222
2024-07-15 06:24:00,50.0,223
2024-07-15 06:26:00,49.9,220
2024-07-15 06:28:00,50,219
2024-07-15 06:30:00,50.2,215
2024-07-15 06:32:00,50.1,216
2024-07-15 06:34:00,50.0,222
2024-07-15 06:36:00,50.0,219
2024-07-15 06:38:00,50.0,217
2024-07-15 06:40:00,50.0,212
2024-07-15 06:42:00,49.9,211
2024-07-15 06:44:00,50.0,214
2024-07-15 06:46:00,49.9,216
2024-07-15 06:48:00,50.1,219
2024-07-15 06:50:00,49.9,217
2024-07-15 06:52:00,50.0,214
2024-07-15 06:54:00,49.8,211
2024-07-15 06:56:00,50.0,212
2024-07-15 06:58:00,49.8,211
2024-07-15 07:00:00,49.8,209
2024-07-15 07:02:00,50.1,208
2024-07-15 07:04:00,49.7,210
2024-07-15 07:06:00,50.0,214
2024-07-15 07:08:00,49.7,209
2024-07-15 07:10:00,49.8,211
2024-07-15 07:12:00,49.9,216
2024-07-15 07:14:00,49.9,212
2024-07-15 07:16:00,49.8,212
2024-07-15 07:18:00,49.8,216
2024-07-15 07:20:00,49.6,212
2024-07-15 07:22:00,49.7,211
2024-07-15 07:24:00,49.8,210
2024-07-15 07:26:00,49.8,212
2024-07-15 07:28:00,49.8,210
2024-07-15 07:30:00,49.9,212
2024-07-15 07:32:00,49.8,209
2024-07-15 07:34:00,49.9,207
2024-07-15 07:36:00,49.8,211
2024-07-15 07:38:00,49.7,210
2024-07-15 07:40:00,49.7,205
2024-07-15 07:42:00,49.8,210
2024-07-15 07:44:00,49.7,207
2024-07-15 07:46:00,49.7,209
2024-07-15 07:48:00,49.9,208
2024-07-15 07:50:00,49.6,210
2024-07-15 07:52:00,49.9,213
2024-07-15 07:54:00,49.8,210
2024-07-15 07:56:00,50.0,206
2024-07-15 07:58:00,49.8,205
2024-07-15 08:00:00,49.6,202
2024-07-15 08:02:00,49.6,204
2024-07-15 08:04:00,49.1,209
2024-07-15 08:06:00,49.8,207
2024-07-15 08:08:00,49.8,210
2024-07-15 08:10:00,49.5,212
2024-07-15 08:12:00,49.7,211
2024-07-15 08:14:00,49.8,209
2024-07-15 08:16:00,49.7,209
2024-07-15 08:18:00,49.8,205
2024-07-15 08:20:00,49.6,203
2024-07-15 08:22:00,49.5,204
2024-07-15 08:24:00,49.6,207
2024-07-15 08:26:00,49.6,205
2024-07-15 08:28:00,49.5,203
2024-07-15 08:30:00,49.5,202
2024-07-15 08:32:00,49.5,202
2024-07-15 08:34:00,49.2,203
2024-07-15 08:36:00,49.6,204
2024-07-15 08:38:00,50.9,234
2024-07-15 08:40:00,50.9,231
2024-07-15 08:42:00,50.8,233
2024-07-15 08:44:00,50.9,233
2024-07-15 08:46:00,50.9,232
2024-07-15 08:48:00,50.8,232
2024-07-15 08:50:00,50.9,233
2024-07-15 08:52:00,50.5,229
2024-07-15 08:54:00,50.7,231
2024-07-15 08:56:00,50.9,231
2024-07-15 08:58:00,50.6,231
