Facility,Period,Voltage (% in +/- 10% of 230V)_x,Frequency (% in +/- 5% of 50Hz)_x,SAIDI,SAIFI,Quality Score,Reliability Score,PQR Score,Voltage (% in +/- 10% of 230V)_y,Voltage (% > 10% of 230V),Voltage (% < 10% of 230V),Voltage (% > 20% of 230V),Voltage (% < 20% of 230V),Frequency (% in +/- 5% of 50Hz)_y,Frequency (% > 5% of 50Hz),Frequency (% < 5% of 50Hz),Frequency (% > 15% of 50Hz),Frequency (% < 15% of 50Hz),Average outage duration,# of outages in the month that were >2 hours,# of days in the month with an outage of at least 2 hours,# of outages in the month that were >8 hours,# of days in the month with an outage of at least 8 hours,Average # of outages per day,# of days in the month with at least one outage,# of days in the month with >=3 outages
CH Bethesda Ndosho,2022-05-01,0.6155,1.0,0.0,0.5,0.8078,1.0,0.9039,61.55,0.0,38.45,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,,,,,
CH Bethesda Ndosho,2022-06-01,0.6684,0.9806,0.1717,0.2529,0.8245,0.9975,0.911,66.84,0.0,33.16,0.0,0.95,98.06,0.01,1.18,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.5,12.0,0.0
CH Bethesda Ndosho,2022-07-01,0.4543,0.9924,0.1252,0.2971,0.7233,0.9966,0.8599,45.43,0.0,54.57,0.0,14.58,99.24,0.02,0.16,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.55,14.0,0.0
CH Bethesda Ndosho,2022-08-01,0.4125,0.9567,0.1014,0.8036,0.6846,0.9976,0.8411,41.25,0.02,58.73,0.02,31.07,95.67,0.29,0.01,0.24,0.0,1.39,2.0,2.0,1.0,1.0,0.77,11.0,2.0
CH Bethesda Ndosho,2022-09-01,0.522,0.9939,0.0875,0.8849,0.758,0.9968,0.8774,52.2,0.0,47.8,0.0,8.45,99.39,0.02,0.01,0.01,0.0,0.24,0.0,0.0,0.0,0.0,0.5,12.0,0.0
CH Bethesda Ndosho,2022-10-01,0.5799,0.9981,0.0408,1.0,0.789,0.9996,0.8943,57.99,0.0,42.01,0.0,0.54,99.81,0.01,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.16,5.0,0.0
CH Bethesda Ndosho,2022-11-01,0.5396,0.99,0.1687,0.6316,0.7648,0.9994,0.8821,53.96,0.0,46.04,0.0,4.64,99.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,0.0,0.0,0.33,5.0,2.0
CH Bethesda Ndosho,2022-12-01,0.3474,0.9356,0.0108,0.4362,0.6415,0.9999,0.8207,34.74,0.0,65.26,0.0,16.75,93.56,0.0,0.0,0.0,0.0,9.08,15.0,13.0,13.0,12.0,1.7,17.0,2.0
CH Bethesda Ndosho,2023-01-01,0.4276,0.9845,0.0132,0.4249,0.7061,0.9998,0.8529,42.76,0.0,57.24,0.0,10.71,98.45,0.0,0.0,0.0,0.0,0.61,1.0,1.0,0.0,0.0,0.45,5.0,1.0
CH Bethesda Ndosho,2023-02-01,0.4868,0.9949,0.0434,0.5,0.7408,0.9978,0.8693,48.68,0.0,51.32,0.0,8.08,99.49,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.29,4.0,1.0
CH Bethesda Ndosho,2023-03-01,0.5449,0.9963,0.0663,0.28,0.7706,0.9985,0.8846,54.49,0.0,45.51,0.0,3.45,99.63,0.07,0.03,0.0,0.01,0.17,0.0,0.0,0.0,0.0,0.29,7.0,0.0
CH Bethesda Ndosho,2023-04-01,0.6748,0.9986,0.0169,0.8856,0.8367,0.9992,0.918,67.48,0.0,32.52,0.0,1.15,99.86,0.05,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.1,3.0,0.0
CH Bethesda Ndosho,2023-05-01,0.7102,0.999,0.0169,1.0268,0.8546,0.9995,0.9271,71.02,0.0,28.98,0.0,0.51,99.9,0.03,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.1,3.0,0.0
CH Bethesda Ndosho,2023-06-01,0.7315,0.998,0.0416,0.3481,0.8648,0.9985,0.9317,73.15,0.0,26.85,0.0,0.51,99.8,0.01,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.2,6.0,0.0
CH Bethesda Ndosho,2023-07-01,0.6664,0.7856,0.1278,0.9396,0.726,0.9968,0.8614,66.64,0.0,33.36,0.0,21.55,78.56,0.0,0.0,0.0,0.0,3.48,16.0,16.0,15.0,15.0,6.44,25.0,10.0
CH Bethesda Ndosho,2023-08-01,0.6888,0.9962,0.0724,0.6256,0.8425,0.9975,0.92,68.88,0.0,31.12,0.0,1.34,99.62,0.04,0.0,0.0,0.0,3.78,2.0,2.0,1.0,1.0,0.3,9.0,0.0
CH Bethesda Ndosho,2023-09-01,0.6476,0.9958,0.0599,0.2174,0.8217,0.9994,0.9105,64.76,0.0,35.24,0.0,4.07,99.58,0.05,0.04,0.02,0.0,0.31,0.0,0.0,0.0,0.0,0.2,5.0,0.0
CH Bethesda Ndosho,2023-10-01,0.5198,0.9961,0.0391,0.3337,0.758,0.9994,0.8787,51.98,0.0,48.02,0.0,2.72,99.61,0.02,0.0,0.01,0.0,0.25,0.0,0.0,0.0,0.0,0.26,5.0,1.0
CH Bethesda Ndosho,2023-11-01,0.7646,0.948,0.0622,1.0808,0.8563,0.991,0.9237,76.46,0.0,23.54,0.0,5.57,94.8,0.01,0.04,0.01,0.0,2.22,4.0,4.0,3.0,3.0,1.39,13.0,4.0
CH Bethesda Ndosho,2023-12-01,0.7336,0.9264,0.104,0.7863,0.83,0.9966,0.9133,73.36,0.0,26.64,0.0,7.73,92.64,0.05,0.04,0.03,0.0,0.8,3.0,3.0,0.0,0.0,1.42,20.0,6.0
CH Bethesda Ndosho,2024-01-01,0.7117,0.9845,0.0988,0.6778,0.8481,0.9945,0.9213,71.17,0.0,28.83,0.0,1.64,98.45,0.08,0.02,0.05,0.0,0.51,1.0,1.0,0.0,0.0,0.61,16.0,0.0
CH Bethesda Ndosho,2024-02-01,0.6096,0.9843,0.0301,0.8696,0.797,0.9981,0.8975,60.96,0.0,39.04,0.0,3.88,98.43,0.06,0.02,0.06,0.01,1.0,1.0,1.0,0.0,0.0,0.28,7.0,0.0
CH Bethesda Ndosho,2024-03-01,0.6472,0.9765,0.064,0.5836,0.8118,0.9983,0.9051,64.72,0.0,35.28,0.0,3.08,97.65,0.07,0.0,0.06,0.0,1.2,2.0,2.0,0.0,0.0,0.35,7.0,0.0
CH Bethesda Ndosho,2024-04-01,0.6207,0.9928,0.0338,0.4762,0.8068,0.997,0.9019,62.07,0.0,37.93,0.0,3.56,99.28,0.07,0.0,0.06,0.0,1.25,0.0,0.0,0.0,0.0,0.07,2.0,0.0
CH Bethesda Ndosho,2024-05-01,0.5944,0.997,0.0504,1.3519,0.7957,0.9946,0.8952,59.44,0.0,40.56,0.0,1.97,99.7,0.06,0.0,0.03,0.0,0.47,0.0,0.0,0.0,0.0,0.19,5.0,0.0
CH Bethesda Ndosho,2024-06-01,0.5931,0.9873,0.1086,0.7322,0.7902,0.998,0.8941,59.31,0.0,40.69,0.0,3.42,98.73,0.78,0.0,0.12,0.0,0.33,0.0,0.0,0.0,0.0,0.2,4.0,0.0
CH Bethesda Ndosho,2024-07-01,0.4957,0.9198,0.0333,0.746,0.7078,0.9994,0.8536,49.57,0.0,50.43,0.0,13.71,91.98,0.06,0.0,0.02,0.0,1.41,7.0,6.0,0.0,0.0,1.03,14.0,4.0
CH Bethesda Ndosho,2024-08-01,0.6224,0.9746,0.0637,1.0162,0.7985,0.997,0.8978,62.24,0.0,37.76,0.0,4.01,97.46,0.6,0.0,0.01,0.0,0.85,2.0,2.0,0.0,0.0,0.32,10.0,0.0
CH Bethesda Ndosho,2024-09-01,0.7064,0.9159,0.1325,0.7037,0.8112,0.9942,0.9027,70.64,0.01,29.35,0.0,5.56,91.59,5.44,0.0,0.01,0.0,0.75,1.0,1.0,0.0,0.0,0.67,11.0,2.0
CH Bethesda Ndosho,2024-10-01,0.6339,0.9412,0.0505,0.3852,0.7876,0.9999,0.8938,63.39,0.0,36.61,0.0,3.26,94.12,4.98,0.0,0.01,0.0,0.83,0.0,0.0,0.0,0.0,0.2,3.0,0.0
CH Matanda,2022-06-01,0.9773,0.9753,0.0771,0.3,0.9763,0.9992,0.9877,97.39,0.0,2.61,0.0,1.48,96.97,0.01,1.54,0.01,0.28,0.33,0.0,0.0,0.0,0.0,0.4,3.0,0.0
CH Matanda,2022-07-01,0.9297,0.9318,1.2528,0.5,0.9308,0.9666,0.9487,92.42,0.0,7.58,0.0,7.11,92.21,0.17,0.66,0.17,0.12,1.81,8.0,8.0,1.0,1.0,0.84,18.0,1.0
CH Matanda,2022-08-01,0.9405,0.9458,0.8009,0.3466,0.9432,0.9946,0.9689,94.13,0.0,5.87,0.0,4.45,94.67,0.12,0.83,0.12,0.23,1.33,3.0,3.0,0.0,0.0,0.61,11.0,3.0
CH Matanda,2022-09-01,0.9674,0.9723,0.3379,0.7308,0.9699,0.9883,0.9791,97.12,0.0,2.88,0.0,2.23,97.6,0.03,0.15,0.03,0.08,1.24,4.0,4.0,0.0,0.0,0.4,9.0,0.0
CH Matanda,2022-10-01,0.9628,0.9645,0.5097,1.0472,0.9636,0.9698,0.9667,96.33,0.0,3.67,0.0,2.8,96.6,0.07,0.58,0.06,0.52,0.74,1.0,1.0,0.0,0.0,0.71,15.0,1.0
CH Matanda,2022-11-01,0.9268,0.9237,1.0112,0.733,0.9252,0.9772,0.9512,92.55,0.0,7.45,0.0,6.21,92.46,0.05,1.29,0.05,1.01,1.03,4.0,3.0,0.0,0.0,1.2,16.0,5.0
CH Matanda,2022-12-01,0.9709,0.9731,0.4615,0.3993,0.972,0.99,0.981,97.16,0.0,2.84,0.0,2.4,97.45,0.01,0.14,0.01,0.09,0.76,2.0,2.0,0.0,0.0,0.71,14.0,3.0
