Time,Frequency 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire),Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique),Voltage 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire),Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique),Generator_ON
9/2/24 0:00,50,50.1,207,214,FALSE
9/2/24 0:02,50.2,50.3,208,214,FALSE
9/2/24 0:04,50,49.9,207,213,FALSE
9/2/24 0:06,50.3,50.3,209,215,FALSE
9/2/24 0:08,50.2,50.2,210,216,FALSE
9/2/24 0:10,50.2,50.2,209,216,FALSE
9/2/24 0:12,50.2,50.2,206,214,FALSE
9/2/24 0:14,50,50,207,216,FALSE
9/2/24 0:16,50.2,50.2,205,214,FALSE
9/2/24 0:18,50.1,50.1,206,215,FALSE
9/2/24 0:20,50.2,50.2,207,216,FALSE
9/2/24 0:22,50.2,50.2,207,216,FALSE
9/2/24 0:24,50.3,50.4,207,216,FALSE
9/2/24 0:26,50.2,50.2,209,216,FALSE
9/2/24 0:28,50.3,50.2,208,216,FALSE
9/2/24 0:30,50.3,50.3,209,218,FALSE
9/2/24 0:32,50.2,50.2,209,218,FALSE
9/2/24 0:34,50.1,50.1,208,219,FALSE
9/2/24 0:36,50.3,50.4,207,217,FALSE
9/2/24 0:38,50.3,50.3,207,217,FALSE
9/2/24 0:40,50.2,50.2,207,217,FALSE
9/2/24 0:42,50.4,50.4,208,218,FALSE
9/2/24 0:44,50.2,50.1,208,218,FALSE
9/2/24 0:46,50.2,50.2,208,218,FALSE
9/2/24 0:48,50.2,50.2,208,219,FALSE
9/2/24 0:50,50.1,50.1,207,218,FALSE
9/2/24 0:52,50.1,50.1,207,218,FALSE
9/2/24 0:54,50.2,50.3,209,219,FALSE
9/2/24 0:56,50.3,50.2,208,219,FALSE
9/2/24 0:58,50.2,50.2,207,219,FALSE
9/2/24 1:00,50.1,50.2,209,219,FALSE
9/2/24 1:02,50.3,50.4,210,220,FALSE
9/2/24 1:04,50.1,50.1,209,219,FALSE
9/2/24 1:06,50.3,50.3,209,219,FALSE
9/2/24 1:08,50.2,50.2,210,220,FALSE
9/2/24 1:10,50.4,50.3,210,221,FALSE
9/2/24 1:12,50.1,50.1,209,220,FALSE
9/2/24 1:14,50.3,50.3,210,220,FALSE
9/2/24 1:16,50.1,50,210,221,FALSE
9/2/24 1:18,50.1,50.2,209,220,FALSE
9/2/24 1:20,50.2,50.2,209,219,FALSE
9/2/24 1:22,50.1,50.2,209,219,FALSE
9/2/24 1:24,50.3,50.3,207,218,FALSE
9/2/24 1:26,50.2,50.2,207,218,FALSE
9/2/24 1:28,50.2,50.2,206,216,FALSE
9/2/24 1:30,50.2,50.2,207,217,FALSE
9/2/24 1:32,50.4,50.3,208,219,FALSE
9/2/24 1:34,50.1,50.1,207,218,FALSE
9/2/24 1:36,50.2,50.2,207,217,FALSE
9/2/24 1:38,50.3,50.2,209,219,FALSE
9/2/24 1:40,50.3,50.3,210,219,FALSE
9/2/24 1:42,50.3,50.4,209,219,FALSE
9/2/24 1:44,50.3,50.3,210,219,FALSE
9/2/24 1:46,50.2,50.2,210,219,FALSE
9/2/24 1:48,50.3,50.3,210,219,FALSE
9/2/24 1:50,50.4,50.4,209,219,FALSE
9/2/24 1:52,50.3,50.3,209,219,FALSE
9/2/24 1:54,50.3,50.2,211,220,FALSE
9/2/24 1:56,50.3,50.3,211,221,FALSE
9/2/24 1:58,50.3,50.4,209,219,FALSE
9/2/24 2:00,50.2,50.1,209,219,FALSE
9/2/24 2:02,50.2,50.2,209,219,FALSE
9/2/24 2:04,50.2,50.2,209,219,FALSE
9/2/24 2:06,50.4,50.3,209,220,FALSE
9/2/24 2:08,50.2,50.1,210,220,FALSE
9/2/24 2:10,50.4,50.4,211,220,FALSE
9/2/24 2:12,50.2,50.2,209,219,FALSE
9/2/24 2:14,50.2,50.2,209,219,FALSE
9/2/24 2:16,50.3,50.3,210,220,FALSE
9/2/24 2:18,50.4,50.4,211,221,FALSE
9/2/24 2:20,50.2,50.2,212,221,FALSE
9/2/24 2:22,50.4,50.4,211,221,FALSE
9/2/24 2:24,50.2,50.3,211,221,FALSE
9/2/24 2:26,50.5,50.6,211,221,FALSE
9/2/24 2:28,50.2,50.2,213,222,FALSE
9/2/24 2:30,50.4,50.4,213,222,FALSE
9/2/24 2:32,50.4,50.4,212,222,FALSE
9/2/24 2:34,50.5,50.5,212,222,FALSE
9/2/24 2:36,50.2,50.2,211,221,FALSE
9/2/24 2:38,50.4,50.4,211,222,FALSE
9/2/24 2:40,50.2,50.1,211,222,FALSE
9/2/24 2:42,50.4,50.5,213,222,FALSE
9/2/24 2:44,50.2,50.2,213,222,FALSE
9/2/24 2:46,50.3,50.3,213,223,FALSE
9/2/24 2:48,50.2,50.2,214,223,FALSE
9/2/24 2:50,50.3,50.4,212,221,FALSE
9/2/24 2:52,50.1,50.2,211,221,FALSE
9/2/24 2:54,50.3,50.4,213,222,FALSE
9/2/24 2:56,50.3,50.3,211,221,FALSE
9/2/24 2:58,50.3,50.2,211,221,FALSE
9/2/24 3:00,50.4,50.4,211,220,FALSE
9/2/24 3:02,50.3,50.3,211,221,FALSE
9/2/24 3:04,50.4,50.4,211,221,FALSE
9/2/24 3:06,50.4,50.4,210,221,FALSE
9/2/24 3:08,50.4,50.4,211,221,FALSE
9/2/24 3:10,50.2,50.3,211,221,FALSE
9/2/24 3:12,50.4,50.4,212,222,FALSE
9/2/24 3:14,50.2,50.2,211,221,FALSE
9/2/24 3:16,50.3,50.3,212,221,FALSE
9/2/24 3:18,50.4,50.4,212,221,FALSE
9/2/24 3:20,50.3,50.3,212,222,FALSE
9/2/24 3:22,50.2,50.3,214,223,FALSE
9/2/24 3:24,50.3,50.3,214,223,FALSE
9/2/24 3:26,50.4,50.5,213,223,FALSE
9/2/24 3:28,50.2,50.2,213,222,FALSE
9/2/24 3:30,50.3,50.3,211,221,FALSE
9/2/24 3:32,50.4,50.3,211,221,FALSE
9/2/24 3:34,50.2,50.2,211,221,FALSE
9/2/24 3:36,50.3,50.3,211,221,FALSE
9/2/24 3:38,50.3,50.3,212,221,FALSE
9/2/24 3:40,50.2,50.3,210,221,FALSE
9/2/24 3:42,50.3,50.3,211,221,FALSE
9/2/24 3:44,50.3,50.3,211,221,FALSE
9/2/24 3:46,50.5,50.4,212,222,FALSE
9/2/24 3:48,50.3,50.3,211,221,FALSE
9/2/24 3:50,50.4,50.3,211,221,FALSE
9/2/24 3:52,50.3,50.3,212,221,FALSE
9/2/24 3:54,50.3,50.3,212,222,FALSE
9/2/24 3:56,50.2,50.2,211,221,FALSE
9/2/24 3:58,50.3,50.3,212,222,FALSE
9/2/24 4:00,50.5,50.4,214,223,FALSE
9/2/24 4:02,50.3,50.3,214,223,FALSE
9/2/24 4:04,50.3,50.3,213,223,FALSE
9/2/24 4:06,50.3,50.3,213,222,FALSE
9/2/24 4:08,50.5,50.5,212,221,FALSE
9/2/24 4:10,50.3,50.3,214,223,FALSE
9/2/24 4:12,50.2,50.3,213,222,FALSE
9/2/24 4:14,50.3,50.3,212,222,FALSE
9/2/24 4:16,50.4,50.4,212,222,FALSE
9/2/24 4:18,50.3,50.3,212,223,FALSE
9/2/24 4:20,50.3,50.3,211,221,FALSE
9/2/24 4:22,50.3,50.2,212,221,FALSE
9/2/24 4:24,50.4,50.3,214,223,FALSE
9/2/24 4:26,50.4,50.3,214,223,FALSE
9/2/24 4:28,50.3,50.4,214,223,FALSE
9/2/24 4:30,50.3,50.3,214,223,FALSE
9/2/24 4:32,50.3,50.3,215,224,FALSE
9/2/24 4:34,50.3,50.2,215,224,FALSE
9/2/24 4:36,50.3,50.2,215,224,FALSE
9/2/24 4:38,50.2,50.3,215,224,FALSE
9/2/24 4:40,50.5,50.5,215,225,FALSE
9/2/24 4:42,50.3,50.3,216,225,FALSE
9/2/24 4:44,50.3,50.3,216,225,FALSE
9/2/24 4:46,50.3,50.3,216,224,FALSE
9/2/24 4:48,50.3,50.3,215,225,FALSE
9/2/24 4:50,50.3,50.3,214,224,FALSE
